1735693080000000,94330.61000000,94509.42000000,94293.74000000,94477.83000000,152.36387000,1735693139999999,14383235.29050010,7388,75.36782000,7113375.83244300,0
1735693140000000,94477.83000000,94488.11000000,94374.50000000,94401.14000000,10.74959000,1735693199999999,1015115.42322220,3322,4.05985000,383379.44201870,0
1735693200000000,94401.13000000,94408.72000000,94252.88000000,94280.48000000,16.64563000,1735693259999999,1569785.13542920,5539,8.47520000,799240.08895310,0
1735693260000000,94280.47000000,94280.47000000,94212.12000000,94220.01000000,12.75523000,1735693319999999,1202036.57080030,2294,5.48888000,517218.22601040,0
1735693320000000,94220.01000000,94220.02000000,94187.50000000,94187.50000000,3.46877000,1735693379999999,326773.37040330,1050,0.20611000,19416.09023270,0
1735693380000000,94187.50000000,94192.96000000,94142.94000000,94142.94000000,6.68980000,1735693439999999,630004.26955930,1960,3.81736000,359503.45733390,0
1735693440000000,94142.94000000,94142.95000000,94105.20000000,94118.41000000,9.65853000,1735693499999999,908989.64548260,1592,3.78875000,356563.30193150,0
1735693500000000,94118.41000000,94118.41000000,93880.00000000,93918.77000000,170.05605000,1735693559999999,15980820.56724730,7006,77.43757000,7276340.60899350,0
1735693560000000,93918.77000000,93961.00000000,93918.77000000,93935.46000000,9.59913000,1735693619999999,901696.53230790,1627,7.65399000,718952.57763700,0
1735693620000000,93935.47000000,93969.71000000,93935.46000000,93969.71000000,2.37830000,1735693679999999,223464.18035850,870,1.98883000,186871.44046510,0
1735693680000000,93969.70000000,93983.03000000,93969.70000000,93983.02000000,4.07084000,1735693739999999,382540.79439620,524,3.63527000,341608.87807600,0
1735693740000000,93983.03000000,94068.00000000,93956.10000000,94061.41000000,6.22259000,1735693799999999,584987.80530660,2513,5.43397000,510866.50258780,0
1735693800000000,94061.41000000,94111.09000000,94061.40000000,94079.65000000,8.59540000,1735693859999999,808765.04846840,2081,4.75975000,447823.41322320,0
1735693860000000,94079.64000000,94101.44000000,94076.00000000,94096.25000000,3.56538000,1735693919999999,335470.48654820,1221,2.73643000,257474.03775410,0
1735693920000000,94096.24000000,94172.00000000,94096.24000000,94152.16000000,10.25694000,1735693979999999,965756.61884720,1758,7.91675000,745394.11156990,0
1735693980000000,94152.16000000,94170.01000000,94146.40000000,94146.40000000,17.17428000,1735694039999999,1617108.45793220,889,12.62104000,1188370.44078340,0
1735694040000000,94146.40000000,94159.05000000,94146.39000000,94153.05000000,3.43331000,1735694099999999,323245.35116070,494,2.51843000,237106.87446920,0
1735694100000000,94153.04000000,94153.05000000,94068.45000000,94068.45000000,3.16111000,1735694159999999,297487.21039530,1978,1.18977000,111972.04709790,0
1735694160000000,94068.46000000,94068.46000000,94000.00000000,94011.93000000,5.95307000,1735694219999999,559720.09964210,2305,2.95609000,277916.97403800,0
1735694220000000,94011.93000000,94011.93000000,93971.68000000,93982.21000000,4.30043000,1735694279999999,404189.25735210,1101,1.78403000,167655.92120780,0
1735694280000000,93982.20000000,93982.21000000,93978.95000000,93978.95000000,1.99356000,1735694339999999,187353.17178320,195,0.98012000,92111.11964520,0
1735694340000000,93978.96000000,93997.76000000,93971.28000000,93990.24000000,4.43106000,1735694399999999,416459.95404970,890,1.80474000,169618.50139490,0
1735694400000000,93990.23000000,93990.89000000,93973.70000000,93977.80000000,2.21297000,1735694459999999,207980.29915720,726,1.75748000,165171.66788900,0
1735694460000000,93977.80000000,93977.80000000,93977.79000000,93977.80000000,0.94016000,1735694519999999,88354.16411170,123,0.50653000,47602.57503400,0
1735694520000000,93977.80000000,93977.80000000,93977.79000000,93977.80000000,0.98068000,1735694579999999,92162.14556790,100,0.64707000,60810.21504600,0
1735694580000000,93977.80000000,93977.80000000,93856.65000000,93864.94000000,24.98677000,1735694639999999,2345762.41777900,1336,0.90598000,85061.34539870,0
1735694640000000,93864.93000000,93898.14000000,93850.39000000,93898.13000000,3.78999000,1735694699999999,355777.20553500,1220,2.63926000,247771.11142270,0
1735694700000000,93898.14000000,93935.27000000,93898.13000000,93899.70000000,10.12274000,1735694759999999,950753.47977700,1902,1.77196000,166394.36241050,0
1735694760000000,93899.70000000,93899.70000000,93876.34000000,93876.34000000,6.61466000,1735694819999999,621019.66087830,538,0.52642000,49420.27914560,0
1735694820000000,93876.34000000,93877.35000000,93851.91000000,93877.34000000,11.10387000,1735694879999999,1042276.04961960,1116,7.39645000,694282.45115030,0
1735694880000000,93877.34000000,93877.34000000,93843.74000000,93848.37000000,7.04263000,1735694939999999,660970.51251740,584,2.21265000,207666.18335940,0
1735694940000000,93848.37000000,93851.70000000,93819.60000000,93825.86000000,15.02862000,1735694999999999,1410253.91451470,954,2.20607000,207003.67404740,0
1735695000000000,93825.86000000,93899.99000000,93825.86000000,93899.99000000,9.52333000,1735695059999999,893938.10964300,1844,4.76928000,447664.93692750,0
1735695060000000,93899.99000000,93989.37000000,93899.99000000,93920.48000000,13.07005000,1735695119999999,1227870.58619730,2200,6.67233000,626751.46909420,0
1735695120000000,93920.47000000,93947.00000000,93920.47000000,93942.65000000,11.04683000,1735695179999999,1037685.78648680,758,9.14188000,858732.75646730,0
1735695180000000,93942.65000000,93944.46000000,93929.14000000,93930.50000000,2.25739000,1735695239999999,212056.53864210,526,0.60745000,57061.83332420,0
1735695240000000,93930.50000000,93978.18000000,93930.49000000,93970.23000000,3.93590000,1735695299999999,369836.39655540,1325,2.18947000,205719.84254660,0
1735695300000000,93970.23000000,93970.24000000,93893.29000000,93893.30000000,13.15475000,1735695359999999,1235541.20532850,1305,1.19737000,112457.47991170,0
1735695360000000,93893.30000000,93944.80000000,93893.30000000,93944.80000000,5.38613000,1735695419999999,505943.42005810,725,5.28042000,496013.97847200,0
1735695420000000,93944.79000000,93953.98000000,93931.04000000,93935.53000000,4.12658000,1735695479999999,387654.54863550,962,2.52814000,237485.17014280,0
1735695480000000,93935.53000000,93935.54000000,93935.53000000,93935.54000000,4.33278000,1735695539999999,407002.02322180,162,3.75484000,352712.92301360,0
1735695540000000,93935.54000000,93935.54000000,93922.00000000,93922.01000000,2.09055000,1735695599999999,196370.30040380,504,0.19981000,18767.36658500,0
1735695600000000,93922.01000000,93943.61000000,93917.21000000,93943.61000000,2.57967000,1735695659999999,242289.87202920,750,1.39193000,130735.44837720,0
1735695660000000,93943.60000000,93971.02000000,93937.29000000,93953.45000000,2.72705000,1735695719999999,256213.60876060,1434,1.53257000,143988.42905820,0
1735695720000000,93953.45000000,93953.46000000,93944.04000000,93944.04000000,0.75922000,1735695779999999,71330.16170680,232,0.12968000,12183.88469280,0
1735695780000000,93944.04000000,93962.84000000,93944.04000000,93962.84000000,1.49603000,1735695839999999,140557.45605570,473,1.26251000,118615.87660670,0
1735695840000000,93962.83000000,93962.84000000,93923.14000000,93923.14000000,2.49263000,1735695899999999,234155.43018250,818,0.93054000,87400.15831340,0
1735695900000000,93923.14000000,93930.48000000,93923.14000000,93930.48000000,5.79456000,1735695959999999,544261.67966810,425,5.70307000,535668.14335780,0
1735695960000000,93930.48000000,93945.25000000,93927.25000000,93943.92000000,2.36796000,1735696019999999,222433.34927270,1128,1.81233000,170238.49548620,0
1735696020000000,93943.92000000,93943.92000000,93860.78000000,93860.79000000,3.81781000,1735696079999999,358525.96066760,1576,0.67048000,62967.73937500,0
1735696080000000,93860.78000000,93863.25000000,93822.46000000,93826.35000000,4.92583000,1735696139999999,462285.09462680,1217,0.75663000,71005.71710510,0
1735696140000000,93826.35000000,93854.48000000,93826.34000000,93854.48000000,2.47486000,1735696199999999,232224.31531790,557,2.32415000,218080.52006180,0
